aX,aY,aZ,gX,gY,gZ
0.878,0.014,0.432,9.949,-7.446,3.662
-1.299,0.587,-1.075,17.334,-248.230,-241.577
-1.590,0.509,-0.947,-7.507,-330.444,-253.784
-1.867,0.342,-0.689,-29.236,-413.574,-260.742
-1.922,0.130,-0.289,-43.579,-484.863,-267.517
-1.846,-0.336,0.493,-43.701,-533.081,-271.667
-1.587,-0.874,1.544,-24.170,-552.063,-261.597
-1.323,-1.244,2.543,13.672,-526.245,-235.168
-1.187,-1.481,3.189,59.204,-466.248,-201.416
-1.116,-1.646,3.534,90.088,-405.823,-176.941
-1.154,-2.084,3.842,95.154,-360.901,-160.217
-1.005,-2.519,4.000,67.261,-327.881,-137.329
-0.637,-2.600,4.000,11.475,-289.185,-102.356
-0.294,-2.369,4.000,-51.453,-232.788,-56.030
-0.012,-1.871,4.000,-91.736,-155.823,-12.939
0.111,-1.248,4.000,-85.205,-70.496,9.583
0.186,-0.729,4.000,-33.875,4.150,7.874
0.195,-0.361,4.000,32.715,60.181,-4.517
0.115,-0.048,3.771,77.942,98.511,-12.817
0.043,0.280,3.452,90.454,117.615,-17.700
-0.052,0.478,3.286,76.233,128.479,-20.691
-0.167,0.572,3.210,45.105,142.944,-23.743
-0.252,0.688,3.164,4.517,166.992,-23.682
-0.386,0.772,3.145,-36.133,198.364,-23.682
-0.487,0.951,3.146,-73.242,228.943,-27.832
-0.677,1.137,3.029,-98.694,265.930,-37.720
-0.808,1.223,2.785,-106.567,308.655,-59.448
-0.894,1.163,2.509,-105.957,348.694,-83.008
-1.004,1.072,2.185,-110.474,379.761,-103.027
-1.124,0.907,1.850,-120.544,397.095,-119.751
-1.179,0.725,1.557,-132.568,407.654,-134.399
-1.218,0.508,1.297,-143.250,415.039,-146.790
-1.225,0.230,1.043,-149.902,423.889,-154.602
-1.279,0.018,0.857,-155.212,429.382,-156.311
-1.380,-0.137,0.684,-159.302,430.542,-160.217
-1.447,-0.362,0.427,-157.288,428.711,-169.250
-1.535,-0.689,0.007,-153.137,419.250,-179.077
-1.389,-1.062,-0.472,-144.836,398.621,-192.139
-1.103,-1.458,-0.886,-137.573,363.831,-194.214
-0.788,-1.819,-1.174,-134.277,322.205,-179.504
-0.567,-1.975,-1.309,-128.113,274.048,-156.250
-0.388,-2.061,-1.291,-113.892,223.083,-132.812
-0.158,-2.187,-1.223,-93.567,179.626,-110.718
0.019,-2.188,-1.148,-74.219,148.621,-84.900
0.177,-2.081,-1.096,-53.711,126.526,-58.289
0.283,-1.912,-1.072,-34.546,109.558,-31.555
0.341,-1.690,-1.033,-22.156,92.224,-5.981
0.407,-1.438,-0.940,-18.616,72.083,16.785
0.437,-1.151,-0.784,-22.156,52.307,37.415
0.471,-0.889,-0.601,-26.917,36.377,54.077
0.483,-0.663,-0.424,-28.320,23.437,65.552
0.485,-0.501,-0.264,-24.658,14.404,72.876
0.502,-0.353,-0.144,-17.883,7.019,77.332
0.534,-0.209,-0.031,-11.169,-0.122,79.163
0.564,-0.110,0.059,-5.920,-8.545,79.834
0.583,-0.018,0.154,0.732,-15.625,77.271
0.631,0.108,0.239,9.949,-20.569,72.754
0.661,0.224,0.292,20.630,-24.841,67.322
0.686,0.300,0.333,30.090,-27.161,61.035
0.736,0.369,0.371,36.194,-28.625,54.077
0.767,0.411,0.401,38.025,-29.480,46.692
0.799,0.415,0.415,36.499,-30.029,39.856
0.827,0.388,0.437,33.386,-30.457,34.241
0.850,0.364,0.467,29.114,-30.518,30.151
0.868,0.331,0.500,26.123,-30.518,27.100
0.887,0.273,0.524,24.719,-28.442,24.536
0.895,0.210,0.541,24.597,-25.024,23.010
0.890,0.179,0.555,24.231,-21.118,22.705
0.885,0.179,0.555,22.888,-16.052,21.851
0.873,0.151,0.533,21.912,-10.498,18.799
0.894,0.108,0.488,22.339,-4.333,15.137
0.864,0.125,0.425,22.522,0.610,13.245
0.841,0.131,0.346,21.118,3.967,12.512
0.840,0.114,0.282,19.165,1.648,10.681
0.846,0.103,0.256,18.188,-3.235,8.362
0.838,0.110,0.251,18.372,-7.141,7.446
0.816,0.115,0.255,20.874,-11.658,6.531
0.820,0.098,0.279,24.597,-17.273,5.066
0.839,0.088,0.320,26.489,-22.400,4.578
0.849,0.092,0.364,27.100,-25.085,4.944
0.845,0.069,0.386,25.085,-24.292,6.531
0.860,0.034,0.394,20.142,-20.386,9.094
0.876,-0.001,0.388,15.015,-17.395,12.939
0.866,-0.011,0.365,10.498,-16.113,17.578
0.826,0.028,0.343,6.775,-16.052,21.545
0.806,0.067,0.331,4.456,-18.738,22.522
0.816,0.091,0.328,3.418,-22.705,21.606
0.818,0.137,0.347,1.953,-27.710,20.813
0.832,0.177,0.388,1.343,-32.166,19.531
